,LogisticSet
0,city_Cary
1,price_$
2,city_Knightdale
3,city_Garner
4,city_Wendell
5,city_West_Cary
6,city_Rolesville
7,city_Angier
8,city_Durham
9,city_Zebulon
10,city_Apex
11,city_Fuquay-Varina
12,city_Morrisville
13,years_open
14,city_Wake_Forest
