business_id,alias,title
dPWHFb_sDduzcJdOZSqR5Q,chicken_wings,Chicken Wings
Db3CfZWrtG33UZSs8Tdlsg,mexican,Mexican
Db3CfZWrtG33UZSs8Tdlsg,latin,Latin American
mQCT1psNh2pJT38ohSQDHA,japanese,Japanese
mQCT1psNh2pJT38ohSQDHA,sushi,Sushi Bars
mQCT1psNh2pJT38ohSQDHA,asianfusion,Asian Fusion
0rrSv3p1SngSYmyNEvWZVw,newamerican,American (New)
0rrSv3p1SngSYmyNEvWZVw,cocktailbars,Cocktail Bars
0rrSv3p1SngSYmyNEvWZVw,gastropubs,Gastropubs
mIwbgnIAuPGpsEqQktZUWg,sandwiches,Sandwiches
mIwbgnIAuPGpsEqQktZUWg,hotdogs,Fast Food
mIwbgnIAuPGpsEqQktZUWg,delis,Delis
KYxiIkANSVjLhdO939GK6A,chinese,Chinese
DccXBfQGFMKK7oXqm_3vMg,burgers,Burgers
DccXBfQGFMKK7oXqm_3vMg,hotdogs,Fast Food
DccXBfQGFMKK7oXqm_3vMg,tacos,Tacos
J0NR4E4HAj6Zow-mF1dePA,pizza,Pizza
alwSHXblftBwsALI3uWogA,sportsbars,Sports Bars
alwSHXblftBwsALI3uWogA,petservices,Pet Services
alwSHXblftBwsALI3uWogA,dog_parks,Dog Parks
DzSlAkkiwtZjP09AaOMa-g,cocktailbars,Cocktail Bars
DzSlAkkiwtZjP09AaOMa-g,burgers,Burgers
DzSlAkkiwtZjP09AaOMa-g,sandwiches,Sandwiches
LaoAn8MX9kDghbX-v1asHw,cafes,Cafes
_Y0oejI5H0ioR2vyBERX4w,donuts,Donuts
_Y0oejI5H0ioR2vyBERX4w,coffee,Coffee & Tea
Mj5DkWNTEsQBoSnc0VZ3PA,publicart,Public Art
xODDrfWlTjDHeLKQIQBBkA,sandwiches,Sandwiches
KLluzHXsTV0zCw48EJTEEg,southern,Southern
KLluzHXsTV0zCw48EJTEEg,soulfood,Soul Food
yfKpKKBnz-oNSWfdvapO_A,coffee,Coffee & Tea
yfKpKKBnz-oNSWfdvapO_A,bakeries,Bakeries
yfKpKKBnz-oNSWfdvapO_A,icecream,Ice Cream & Frozen Yogurt
-LAiusd8GnWFR8atxbT-Vw,mexican,Mexican
ijJ6U2_xCJQZZVnkw23m9g,hotdogs,Fast Food
q9ugnXqUutldixx2zGUVag,japanese,Japanese
q9ugnXqUutldixx2zGUVag,hotdogs,Fast Food
t9_vIO73BCSXrlyjLylaMA,coffee,Coffee & Tea
FY9-ME9_UlRiMkjckEfnOQ,burgers,Burgers
FY9-ME9_UlRiMkjckEfnOQ,hotdogs,Fast Food
FY9-ME9_UlRiMkjckEfnOQ,icecream,Ice Cream & Frozen Yogurt
Us7Oe7hwI3J9rJ2TZs8gSw,hotdogs,Fast Food
hTFsJ7piwau8axV_MXXyeg,pizza,Pizza
hTFsJ7piwau8axV_MXXyeg,sandwiches,Sandwiches
hTFsJ7piwau8axV_MXXyeg,hotdogs,Fast Food
P6bvtpWjiltJHsxtPAm2_g,burgers,Burgers
P6bvtpWjiltJHsxtPAm2_g,hotdogs,Fast Food
mILfcRQxAippB-Y6Bm4uiw,pizza,Pizza
mILfcRQxAippB-Y6Bm4uiw,italian,Italian
mILfcRQxAippB-Y6Bm4uiw,chicken_wings,Chicken Wings
OcCsO9gyNkojXdQs086Urg,burgers,Burgers
OcCsO9gyNkojXdQs086Urg,coffee,Coffee & Tea
OcCsO9gyNkojXdQs086Urg,hotdogs,Fast Food
4ficqwBgX5rBsMZYby8ZuA,pizza,Pizza
NH2KHNSku2TPyfoan0U1Og,bakeries,Bakeries
NH2KHNSku2TPyfoan0U1Og,cupcakes,Cupcakes
JDm8eI9V7ki9R3A464YRLA,parks,Parks
k_NWFWUne7ecCO0DgG52RA,parks,Parks
-g7Gj0FfctLeKHNfToNI5A,airportlounges,Airport Lounges
MtSEQlqTj3Pup-wBY-dKfA,bars,Bars
MtSEQlqTj3Pup-wBY-dKfA,pizza,Pizza
MtSEQlqTj3Pup-wBY-dKfA,sandwiches,Sandwiches
3b14ebd1k9y7VJbp5hC0gg,tapasmallplates,Tapas/Small Plates
3b14ebd1k9y7VJbp5hC0gg,wine_bars,Wine Bars
3b14ebd1k9y7VJbp5hC0gg,sandwiches,Sandwiches
hUu5im-iTpOvRHtqiuu_dg,bbq,Barbeque
hUu5im-iTpOvRHtqiuu_dg,southern,Southern
zaLFPpm-t89qSDOaFVgwDQ,burgers,Burgers
zaLFPpm-t89qSDOaFVgwDQ,salad,Salad
zaLFPpm-t89qSDOaFVgwDQ,bars,Bars
0DaSqjKtm8JJEv2nmL4cgw,sushi,Sushi Bars
0DaSqjKtm8JJEv2nmL4cgw,japanese,Japanese
0DaSqjKtm8JJEv2nmL4cgw,bars,Bars
Un0QXKDscxlI_yi3u14ALA,hotdogs,Fast Food
AklrxvTGwJ-YoXTsXBvEOg,beerbar,Beer Bar
5V9i2FuhQ3o8ynYwbubmQg,newamerican,American (New)
5V9i2FuhQ3o8ynYwbubmQg,sportsbars,Sports Bars
ahGptHMIRIBXR9wzqZqZwA,breakfast_brunch,Breakfast & Brunch
sQIH-MmfdI2xyXa6acyYhg,tradamerican,American (Traditional)
