business_id,alias,title
m172wiuIjprZEiWZ-XR1UQ,southern,Southern
m172wiuIjprZEiWZ-XR1UQ,bbq,Barbeque
AjoDJPOhtNIy46gnmffiZg,tea,Tea Rooms
2YvumjZegZzlmHrhljnL6g,beer_and_wine,"Beer, Wine & Spirits"
2YvumjZegZzlmHrhljnL6g,pizza,Pizza
2YvumjZegZzlmHrhljnL6g,grocery,Grocery
3wpWCOpkn8NVKUosv0jX6A,cafes,Cafes
3wpWCOpkn8NVKUosv0jX6A,breakfast_brunch,Breakfast & Brunch
v8rBkMduORWyxZnglFKppg,newamerican,American (New)
1Zkz2knIObhMrUVlzDvbKw,sandwiches,Sandwiches
1Zkz2knIObhMrUVlzDvbKw,breakfast_brunch,Breakfast & Brunch
1Zkz2knIObhMrUVlzDvbKw,latin,Latin American
41pR5eAByIngvv93A_7pfw,tradamerican,American (Traditional)
41pR5eAByIngvv93A_7pfw,bars,Bars
NGJgJb_fShuMu2zmKiE-RQ,bars,Bars
NGJgJb_fShuMu2zmKiE-RQ,pizza,Pizza
KBkTQXeAnrJG-EMO6rFvyA,hotdogs,Fast Food
6wkDFpnvOse3u01nAxyW9g,sandwiches,Sandwiches
LlhR0czSz5jmP8uwMSllWw,hotdogs,Fast Food
LlhR0czSz5jmP8uwMSllWw,chicken_wings,Chicken Wings
umrhRvkAr7V0AH4tH-XC-Q,pubs,Pubs
umrhRvkAr7V0AH4tH-XC-Q,chicken_wings,Chicken Wings
umrhRvkAr7V0AH4tH-XC-Q,newamerican,American (New)
U6hKb1t4YNrYoOMrxtOIaA,mexican,Mexican
pSotegFbUVBKODrASdqc5A,sushi,Sushi Bars
pSotegFbUVBKODrASdqc5A,asianfusion,Asian Fusion
pSotegFbUVBKODrASdqc5A,thai,Thai
IuiPZLCd6DOKlv_ePvRhlg,mexican,Mexican
cPfUnIBBXSCcz7_O41vVmg,tradamerican,American (Traditional)
cPfUnIBBXSCcz7_O41vVmg,breakfast_brunch,Breakfast & Brunch
cPfUnIBBXSCcz7_O41vVmg,bars,Bars
gfx6LEuf4DwzbV1kkeQgXg,thai,Thai
vxhnX2bxOhlzkp130N4wsg,poke,Poke
vxhnX2bxOhlzkp130N4wsg,hawaiian,Hawaiian
vxhnX2bxOhlzkp130N4wsg,asianfusion,Asian Fusion
3v0zhsnqYPbhcnkVHk72xA,cocktailbars,Cocktail Bars
6okMXzzQrYM4DUjd4VMXHw,sportsbars,Sports Bars
6okMXzzQrYM4DUjd4VMXHw,tradamerican,American (Traditional)
XEBBJmyO4NGv-JzDeaH5Dw,dominican,Dominican
XEBBJmyO4NGv-JzDeaH5Dw,puertorican,Puerto Rican
XEBBJmyO4NGv-JzDeaH5Dw,cuban,Cuban
3ehuvvyVzzfzS1Ap9zmzAg,tradamerican,American (Traditional)
3ehuvvyVzzfzS1Ap9zmzAg,breakfast_brunch,Breakfast & Brunch
3ehuvvyVzzfzS1Ap9zmzAg,chicken_wings,Chicken Wings
tUAC5OGmN6brmc1UikKCJQ,chinese,Chinese
uDo04lOcFefE-lqkFI-OjA,asianfusion,Asian Fusion
uDo04lOcFefE-lqkFI-OjA,sushi,Sushi Bars
5v5iIWiAkUnXKDgbzmmwSA,chinese,Chinese
#NAME?,chinese,Chinese
GkRVrFwkmWk2pwz-j-115w,juicebars,Juice Bars & Smoothies
GkRVrFwkmWk2pwz-j-115w,organic_stores,Organic Stores
nQPUC1ezCxjTfhd760Qm8A,pizza,Pizza
ATr5rLX458GecFbq9lb1EA,deptstores,Department Stores
ATr5rLX458GecFbq9lb1EA,furniture,Furniture Stores
ATr5rLX458GecFbq9lb1EA,electronics,Electronics
DdSPIP5K2TsVIs99qvuqWQ,mediterranean,Mediterranean
DdSPIP5K2TsVIs99qvuqWQ,breakfast_brunch,Breakfast & Brunch
DdSPIP5K2TsVIs99qvuqWQ,sandwiches,Sandwiches
9iYw2RGVxaKl7W7eU0VgiA,mexican,Mexican
9iYw2RGVxaKl7W7eU0VgiA,cafes,Cafes
cZTbebmFXbTNYlCfzOSK4g,indpak,Indian
YAfSUU3Yq8uDhG9WqEMVIQ,mediterranean,Mediterranean
YAfSUU3Yq8uDhG9WqEMVIQ,vegan,Vegan
YAfSUU3Yq8uDhG9WqEMVIQ,gluten_free,Gluten-Free
U-z3A-MpN_4GT4LUElYZPA,juicebars,Juice Bars & Smoothies
U-z3A-MpN_4GT4LUElYZPA,sandwiches,Sandwiches
um6HiQ57uONVKSrYJGR7yg,newamerican,American (New)
um6HiQ57uONVKSrYJGR7yg,burgers,Burgers
um6HiQ57uONVKSrYJGR7yg,hotdog,Hot Dogs
9cyTD0MnczUaPuLuQOF86A,coffee,Coffee & Tea
zSuxBP19r1RY8JmAnRqZOA,diners,Diners
zSuxBP19r1RY8JmAnRqZOA,cafes,Cafes
zSuxBP19r1RY8JmAnRqZOA,breakfast_brunch,Breakfast & Brunch
axsVPeoGThLKLzu6GTRCpQ,chinese,Chinese
axsVPeoGThLKLzu6GTRCpQ,thai,Thai
7hsfxIW7FDp1yIjJnYUDmQ,bagels,Bagels
7hsfxIW7FDp1yIjJnYUDmQ,delis,Delis
7hsfxIW7FDp1yIjJnYUDmQ,breakfast_brunch,Breakfast & Brunch
2Uq9ewF5bVZDchSuxVv6Qg,waffles,Waffles
kPnoKkx0-TZBc4QgNKoNGA,chinese,Chinese
cgkOkYyrA7NPUe_FlNG81w,indpak,Indian
1XC-k2u8qoTrwlptoYbuJQ,tradamerican,American (Traditional)
1XC-k2u8qoTrwlptoYbuJQ,movietheaters,Cinema
gOP_Cy1kCV16huk2A_dvtg,asianfusion,Asian Fusion
gOP_Cy1kCV16huk2A_dvtg,sushi,Sushi Bars
Rtwvn-nA3FJewm6V5Aksag,cuban,Cuban
Rtwvn-nA3FJewm6V5Aksag,puertorican,Puerto Rican
Rtwvn-nA3FJewm6V5Aksag,dominican,Dominican
VlsNnPrb2963yWDkJpn2MA,steak,Steakhouses
VlsNnPrb2963yWDkJpn2MA,bars,Bars
5UcmGp5CflaVTUKZdp6HCA,mexican,Mexican
5UcmGp5CflaVTUKZdp6HCA,tex-mex,Tex-Mex
AFZEIF2snOsS57oW-1kHBA,chicken_wings,Chicken Wings
AFZEIF2snOsS57oW-1kHBA,salad,Salad
AFZEIF2snOsS57oW-1kHBA,seafood,Seafood
jAZ5XliNeufxY9fg2f5OAg,grocery,Grocery
jAZ5XliNeufxY9fg2f5OAg,beer_and_wine,"Beer, Wine & Spirits"
jAZ5XliNeufxY9fg2f5OAg,chicken_wings,Chicken Wings
3i_XUDrhiCiUI9EIkjQNvQ,salad,Salad
3i_XUDrhiCiUI9EIkjQNvQ,pizza,Pizza
I3y357PfB2MCEfn3WGicLw,southern,Southern
I3y357PfB2MCEfn3WGicLw,bars,Bars
JjW1_g1PR3L9ru8XFwsxLg,donuts,Donuts
JjW1_g1PR3L9ru8XFwsxLg,coffee,Coffee & Tea
QsGjaKRduireWDrjJRADOA,pizza,Pizza
QsGjaKRduireWDrjJRADOA,chicken_wings,Chicken Wings
QsGjaKRduireWDrjJRADOA,sandwiches,Sandwiches
9kh1aXyYxHLaS0jMUQkSxg,donuts,Donuts
9kh1aXyYxHLaS0jMUQkSxg,coffee,Coffee & Tea
ui3VIO3tiIbGf8cNplALIA,seafood,Seafood
VqMpeCrd5jEPbx84cvr1tw,donuts,Donuts
kwYYV0NdzLwXo8lhWKUMNw,italian,Italian
kwYYV0NdzLwXo8lhWKUMNw,wine_bars,Wine Bars
t5ATpEpVcB_xbPOsnogRBQ,indpak,Indian
t5ATpEpVcB_xbPOsnogRBQ,himalayan,Himalayan/Nepalese
t5ATpEpVcB_xbPOsnogRBQ,asianfusion,Asian Fusion
tCIj8sBo52ujbrrzf0-12g,salad,Salad
tCIj8sBo52ujbrrzf0-12g,soup,Soup
tCIj8sBo52ujbrrzf0-12g,sandwiches,Sandwiches
-VUCSdsS5O9h2CaW-9_n9A,wine_bars,Wine Bars
