business_id,alias,yelp_name,wake_county_name,had_critical_violation,years_open,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
rkGJVzi0lKSzAQNS7DnwkQ,vegan-community-kitchen-apex-2,Vegan Community Kitchen,Vegan Community Kitchen,0.0,1.0,0.0,69.0,4.5,35.722527,-78.844048,$$,Apex,27502,https://www.yelp.com/biz/vegan-community-kitchen-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
OJFlbUyhAyxK6XOCZgfIrg,brueggers-bagels-apex,Bruegger's Bagels,Brueggers's Bagels,1.0,13.0,0.0,49.0,3.0,35.738532,-78.862655,$,Apex,27502,https://www.yelp.com/biz/brueggers-bagels-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
9kh1aXyYxHLaS0jMUQkSxg,dunkin-apex,Dunkin',DUNKIN DONUTS 344467,2.0,1.0,0.0,54.0,1.5,35.7209501684223,-78.8443970064442,$,Apex,27502,https://www.yelp.com/biz/dunkin-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
hGeWTCuZZJHqeba5gMFoKg,carrabbas-italian-grill-apex-6,Carrabba's Italian Grill,CARRABBA'S ITALIAN GRILL ,2.0,14.0,0.0,68.0,3.5,35.742672,-78.870277,$$,Apex,27502,https://www.yelp.com/biz/carrabbas-italian-grill-apex-6?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
M2tsnxFL_3qVWaslfe9SaA,hwy-55-burgers-shakes-and-fries-apex,Hwy 55 Burgers Shakes & Fries,HWY 55 OF APEX,3.0,1.0,0.0,52.0,3.5,35.7209595897898,-78.8444828242952,$,Apex,27502,https://www.yelp.com/biz/hwy-55-burgers-shakes-and-fries-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
L_kccaHSRAayKgvzoFe68w,wendys-apex,Wendy's,WENDYS 6301,0.0,3.0,0.0,17.0,2.5,35.738352,-78.864126,$,Apex,27502,https://www.yelp.com/biz/wendys-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
fscM2fqStT4VJ-ieE7LNvg,sushi-iwa-apex,Sushi Iwa,SUSHI IWA APEX,4.0,8.0,0.0,304.0,4.0,35.746238502613,-78.884497531985,$$,Apex,27502,https://www.yelp.com/biz/sushi-iwa-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
bQlXfu8VyqHEkwX-esxVCA,holiday-inn-express-apex-raleigh-apex-2,Holiday Inn Express Apex-Raleigh,HOLIDAY INN EXPRESS,4.0,11.0,0.0,10.0,4.0,35.71704,-78.84034,$$,Apex,27502,https://www.yelp.com/biz/holiday-inn-express-apex-raleigh-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
XuBnKUrwktuQJs3CXg3z8Q,firehouse-subs-apex,Firehouse Subs,Firehouse Subs,1.0,14.0,0.0,31.0,3.5,35.743935,-78.872858,$,Apex,27502,https://www.yelp.com/biz/firehouse-subs-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
pOd8unbe5fOBgS8EojCK7A,brew-n-que-apex-2,Brew N Que,BREW N QUE,3.0,3.0,0.0,120.0,4.0,35.7445342,-78.8847649,$$,Apex,27502,https://www.yelp.com/biz/brew-n-que-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
