business_id,alias,yelp_name,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
jQ7uVW2g5vZkuIg_hRs2SQ,charlotte-douglas-airport-food-court-charlotte,Charlotte Douglas Airport Food Court,0,19,2,35.222633,-80.944336,$$,Charlotte,28208,https://www.yelp.com/biz/charlotte-douglas-airport-food-court-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
yKfjeMdJdQ7G1C9Qs1FNzA,the-great-american-bagel-bakery-charlotte-2,The Great American Bagel Bakery,0,35,2.5,35.2184907,-80.9453334,$$,Charlotte,28208,https://www.yelp.com/biz/the-great-american-bagel-bakery-charlotte-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
0lgXb6kIisS0ONXiwr6_jw,auntie-annes-charlotte-6,Auntie Anne's,0,9,2,35.21671816,-80.94638032,$$,Charlotte,28208,https://www.yelp.com/biz/auntie-annes-charlotte-6?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
tqajW_GEpfOdbuVNw2-trw,starbucks-charlotte-112,Starbucks,0,3,2,35.222612,-80.944628,?,Charlotte,28208,https://www.yelp.com/biz/starbucks-charlotte-112?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
l7GHpXzildsoMhUHkpnn1Q,smoky-mountain-charlotte,Smoky mountain,0,1,3,35.22285843,-80.83795929,?,Charlotte,28785,https://www.yelp.com/biz/smoky-mountain-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
WhYgyJ1hTJCUhfzsF7URnw,qc-tea-bar-charlotte,QC Tea Bar,0,123,4.5,35.15241773,-80.9511873,$,Charlotte,28273,https://www.yelp.com/biz/qc-tea-bar-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
viuM2vdATRCxI-wqlBHytA,topgolf-charlotte,Topgolf,0,360,3.5,35.153539,-80.9449111,$$,Charlotte,28273,https://www.yelp.com/biz/topgolf-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
nPJqwNZWIxHd-vfE-E3XQQ,siam-garden-charlotte,Siam Garden,0,156,3.5,35.15176,-80.95073,$$,Charlotte,28273,https://www.yelp.com/biz/siam-garden-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
C4e5iSnQDr3E98oS3PUefg,waterbean-coffee-charlotte-2,Waterbean Coffee,0,20,4.5,35.15176,-80.95073,?,Charlotte,28273,https://www.yelp.com/biz/waterbean-coffee-charlotte-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
ei0d6U-oU0W9HljXIXC5QA,sizzlewich-charlotte,Sizzlewich,0,17,4,35.152077,-80.950839,?,Charlotte,28273,https://www.yelp.com/biz/sizzlewich-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
