HSISID,NAME,ADDRESS1,CITY,RESTAURANTOPENDATE,X,Y,CRITICAL_VIOLATIONS
4092015567,MY WAY TAVERN,301  W CENTER ST ,HOLLY SPRINGS,2010-01-29T00:00:00.000Z,-78.83406158,35.65096874,13.0
4092016189,BURGER KING #17359,851 VILLAGE WALK DR ,HOLLY SPRINGS,2012-05-31T00:00:00.000Z,-78.8349912,35.63884148,0.0
4092017850,SEQIRUS CAFE,475 GREEN OAKS PKY ,HOLLY SPRINGS,2018-05-21T00:00:00.000Z,-78.86718952,35.65081231,5.0
4092018092,Harvest Moon Bakery - Cafe,128 Bass Lake RD ,Holly Springs,2019-04-24T00:00:00.000Z,-78.82480349,35.65381034,0.0
4092017990,Tropical Smoothie Cafe,409 Village Walk DR ,Holly Springs,2018-12-03T00:00:00.000Z,-78.83774133,35.64081684,0.0
4092017308,WENDY'S #6319,181 GRAND HILL PL ,HOLLY SPRINGS,2016-09-02T00:00:00.000Z,-78.84762462,35.66221876,4.0
4092015755,FIESTA MEXICANA #6,428 VILLAGE PARK DR ,HOLLY SPRINGS,2011-06-17T00:00:00.000Z,0.0,0.0,11.0
4092013876,Bass Lake Draft House,124 Bass Lake Rd ,HOLLY SPRINGS,2002-08-20T00:00:00.000Z,-78.82480349,35.65381034,12.0
4092016604,BOMBSHELL BEER COMPANY,120  QUANTUM ST ,HOLLY SPRINGS,2014-01-09T00:00:00.000Z,-78.83685095,35.65821728,0.0
4092018211,Town Hall Burger and Beer of Holly Springs,301 MATTHEWS DR,HOLLY SPRINGS,2019-10-30T00:00:00.000Z,-78.79440661,35.66435998,0.0
4092016571,CHINA BEST,632  HOLLY SPRINGS RD ,HOLLY SPRINGS,2013-11-27T00:00:00.000Z,-78.82480349,35.65381034,2.0
4092016386,BUFFALO WILD WINGS #439,121 GRAND HILL PL ,HOLLY SPRINGS,2013-03-12T00:00:00.000Z,-78.84948074,35.66266499,6.0
4092015436,KFC/TACO BELL #118,7108  GB ALFORD HWY ,HOLLY SPRINGS,2009-07-17T00:00:00.000Z,-78.83081103,35.63579652,19.0
4092016410,TIJUANA FLATS BURRITO CO. #182,161 GRAND HILL PL ,HOLLY SPRINGS,2013-04-15T00:00:00.000Z,-78.84948074,35.66266499,17.0
4092017582,HICKORY TAVERN #29,401 VILLAGE WALK DR ,HOLLY SPRINGS,2017-04-17T00:00:00.000Z,-78.83774133,35.64081684,11.0
4092017333,AMC Holly Springs 9,320 GRAND HILL PL ,HOLLY SPRINGS,2016-09-29T00:00:00.000Z,-78.84367420000001,35.66711942,18.0
4092017643,Texas Roadhouse #594,201 Grand Hill PL ,HOLLY SPRINGS,2017-07-13T00:00:00.000Z,-78.8461589,35.66375444,12.0
4092017710,Los Tres Magueyes,325 N Main ST ,Holly Springs,2017-10-19T00:00:00.000Z,-78.83516548,35.65627673,6.0
4092017452,BLAZE PIZZA #1193,316 GRAND HILL PL ,HOLLY SPRINGS,2016-11-04T00:00:00.000Z,-78.84367420000001,35.66711942,8.0
4092015574,THAI THAI CUISINE,108 OSTERVILLE  DR ,HOLLY SPRINGS,2010-02-16T00:00:00.000Z,-78.83224207,35.67779122,12.0
4092017470,HARRIS TEETER #118 STARBUCKS,5277 SUNSET LAKE RD ,HOLLY SPRINGS,2016-12-02T00:00:00.000Z,-78.79654321,35.66684152,0.0
4092013707,Homegrown Pizza,4928 Linksland Dr,HOLLY SPRINGS,2002-11-08T00:00:00.000Z,-78.81055316,35.65750438,0.0
4092015328,KOBE HIBACHI & SUSHI,515 N MAIN ST ,HOLLY SPRINGS,2009-01-29T00:00:00.000Z,-78.83687096,35.65966057,18.0
4092017436,SUBWAY #40395,7016 GB ALFORD HWY ,HOLLY SPRINGS,2016-10-28T00:00:00.000Z,-78.83404543,35.63635296,4.0
4092014668,Chen's Garden,523 N Main ST,HOLLY SPRINGS,2006-08-23T00:00:00.000Z,-78.83687096,35.65966057,12.0
4092015101,Michelangelos,7280 GB Alford  HWY ,HOLLY SPRINGS,2008-03-26T00:00:00.000Z,-78.83292714,35.63500021,12.0
4092017073,MARCO'S PIZZA #8285,133 GRAND HILL PL ,HOLLY SPRINGS,2015-11-10T00:00:00.000Z,-78.84948074,35.66266499,8.0
4092017679,Firehouse Subs #1052,413 Village Walk DR ,HOLLY SPRINGS,2017-09-18T00:00:00.000Z,-78.83774133,35.64081684,6.0
4092017263,LOS POS,7256 GB ALFORD HWY ,HOLLY SPRINGS,2016-07-12T00:00:00.000Z,-78.83292714,35.63500021,9.0
4092015054,Subway #30443,9800 Holly Springs RD ,HOLLY SPRINGS,2008-01-15T00:00:00.000Z,-78.79913769,35.66712746,4.0
4092017899,Harris Teeter #311 Starbucks,324 Village Walk ,Holly Springs,2018-07-31T00:00:00.000Z,-78.83877453,35.64061222,0.0
4092017246,GREEK BASMA,7272 GB ALFORD HWY ,HOLLY SPRINGS,2016-06-24T00:00:00.000Z,-78.83292714,35.63500021,6.0
4092016016,CHINA UNO,308  VILLAGE WALK  DR ,HOLLY SPRINGS,2011-10-11T00:00:00.000Z,-78.83920922,35.63987917,8.0
4092017633,CRISTO'S BISTRO,5217 SUNSET LAKE RD ,HOLLY SPRINGS,2017-06-30T00:00:00.000Z,-78.79654321,35.66684152,8.0
4092025260,Smoothie King #1662,4212 LASSITER RD,HOLLY SPRINGS,2019-05-31T00:00:00.000Z,-78.79440661,35.66435998,0.0
4092018119,Osha Thai Kitchen and Sushi,242 S MAIN ST,HOLLY SPRINGS,2019-06-24T00:00:00.000Z,-78.83395027,35.64920445,0.0
4092018193,Pace Yourself Run Company,242 S MAIN ST,HOLLY SPRINGS,2019-10-04T00:00:00.000Z,-78.83395027,35.64920445,0.0
4092017532,HOLLY SPRINGS GAS AND GROCERY,300 N MAIN ST ,HOLLY SPRINGS,2017-03-06T00:00:00.000Z,-78.83403944,35.65536219,1.0
4092015915,SUBWAY #50592,601 N MAIN ST ,HOLLY SPRINGS,2011-03-17T00:00:00.000Z,-78.83661982,35.66097455,2.0
4092013650,Lowes Foods #189 Deli ,3001 Widewaters Pky ,KNIGHTDALE,2002-08-28T00:00:00.000Z,-78.50515596,35.79511678,2.0
4092016100,SLICE OF N. Y. PIZZA,1016  Shoppes at Midway ,KNIGHTDALE,2012-02-06T00:00:00.000Z,-78.50550835,35.79794748,0.0
4092014747,Five Guys Famous Burgers and Fries of Knightdale,1018 Shoppes At Midway Dr.,KNIGHTDALE,2006-11-29T00:00:00.000Z,-78.50727783,35.79843154,1.0
4092014791,Arby's #7820,6725 Knightdale BLVD ,KNIGHTDALE,2007-02-06T00:00:00.000Z,-78.50344651,35.79796245,5.0
4092014720,Chili's Grill and Bar #1183,6605 Knightdale BLVD ,KNIGHTDALE,2006-10-27T00:00:00.000Z,-78.50846405,35.79679257,4.0
4092017534,YUMMY HIBACHI,"7110 KNIGHTDALE BLVD, STE P",KNIGHTDALE,2017-03-09T00:00:00.000Z,-78.48999453,35.79638911,9.0
4092017695,Saltgrass Steakhouse,6601 Knightdale BLVD ,KNIGHTDALE,2017-10-10T00:00:00.000Z,-78.50947971,35.79658276,2.0
4092017770,Hampton Inn - Foodservice,405 Hinton Oaks BLVD ,Knightdale,2017-12-15T00:00:00.000Z,-78.5111488,35.8002213,2.0
4092013878,El Senor,2001 Widewater Pky ,KNIGHTDALE,2003-08-19T00:00:00.000Z,-78.50515596,35.79511678,8.0
4092017705,Willie Mae's Country Kitchen,107-D S First AVE ,KNIGHTDALE,2017-09-28T00:00:00.000Z,-78.48480185,35.78686255,6.0
4092015200,NEW YORK DINER,909-1 MCKNIGHT DR ,KNIGHTDALE,2008-08-20T00:00:00.000Z,-78.49218524,35.79586021,3.0
4092017910,Highway 55 Burgers Shakes & Fries,1011 N Smithfield  RD ,KNIGHTDALE,2018-08-30T00:00:00.000Z,-78.48874912,35.79711939,1.0
4092014719,Chick-fil-A of Knightdale,6711 Knightdale BLVD,KNIGHTDALE,2006-11-01T00:00:00.000Z,-78.50467914,35.79768435,8.0
4092015605,WAFFLE HOUSE #1279,7605 KNIGHTDALE BLVD ,KNIGHTDALE,2010-04-23T00:00:00.000Z,-78.47367546,35.80004488,22.0
4092013885,Rudino's Parkside,4022 Village Park Dr ,KNIGHTDALE,2003-08-29T00:00:00.000Z,-78.49683785,35.79808616,5.0
4092014962,IHOP-Midway Plantation #3180,6707 Knightdale BLVD ,KNIGHTDALE,2007-09-26T00:00:00.000Z,-78.50544026,35.79752322,1.0
4092015456,QDOBA MEXICAN GRILL #612,210A HINTON OAKS BLVD ,KNIGHTDALE,2009-08-27T00:00:00.000Z,-78.51028401,35.79644133,4.0
4092017518,SALSA AZTECA,7425 KNIGHTDALE BLVD ,KNIGHTDALE,2017-01-26T00:00:00.000Z,-78.47986997,35.79937576,13.0
4092017121,MIKE'S ITALIAN KITCHEN,7144 KNIGHTDALE BLVD ,KNIGHTDALE,2015-12-30T00:00:00.000Z,-78.48874912,35.79711939,11.0
4092015786,A'NETS KATCH,2009 VILLAGE PARK DR ,KNIGHTDALE,2011-08-12T00:00:00.000Z,-78.49336017,35.79721176,6.0
4092013256,Mack's Mart,7526 Knightdale BLVD E,KNIGHTDALE,2000-12-19T00:00:00.000Z,-78.47499077,35.79889118,2.0
4092017998,Applebee's Grill & Bar,6609 Knightdale BLVD ,KNIGHTDALE,2018-12-13T00:00:00.000Z,-78.50745317,35.79704031,0.0
4092017294,WENDY'S #6320,7132  KNIGHTDALE BLVD ,KNIGHTDALE,2016-08-24T00:00:00.000Z,-78.48874912,35.79711939,13.0
4092015911,Carillon Assisted Living of Knightdale Dining,2408  HODGE RD ,KNIGHTDALE,2011-03-14T00:00:00.000Z,-78.519561,35.75881159,5.0
4092018048,Sheetz #664,6030 Village Park DR ,Knightdale,2019-02-04T00:00:00.000Z,-78.50003382,35.79758228,0.0
4092016180,POOR BOY GENERAL STORE AND GRILL,5804  POOR BOY FARM RD ,KNIGHTDALE,2012-05-04T00:00:00.000Z,-78.44826686,35.75699599,8.0
4092017894,Which Wich #670,7202 Knightdale BLVD ,Knightdale,2018-07-26T00:00:00.000Z,-78.48704631,35.79788571,4.0
4092017115,JERSEY MIKE'S SUBS #3151,6727 KNIGHTDALE BLVD ,KNIGHTDALE,2015-12-10T00:00:00.000Z,-78.50344651,35.79796245,1.0
4092015007,Zaxby's of Knightdale,6702 Knightdale  BLVD ,KNIGHTDALE,2007-11-14T00:00:00.000Z,-78.50401397,35.79659659,3.0
4092015232,BUFFALO WILD WINGS #206,6700 KNIGHTDALE BLVD ,KNIGHTDALE,2008-09-25T00:00:00.000Z,-78.50464192,35.79645,5.0
4092014776,Subway #37092,1018-I Shoppes at Midway Plantation ,KNIGHTDALE,2007-01-16T00:00:00.000Z,-78.50497023,35.79806831,0.0
4092013979,Grand Street Pizza,909 - 2 McKnight Rd,KNIGHTDALE,2003-12-31T00:00:00.000Z,0.0,0.0,3.0
4092016062,MCDONALD'S #11646,7141 KNIGHTDALE  BLVD ,KNIGHTDALE,2011-12-09T00:00:00.000Z,-78.48855466,35.79877712,2.0
4092017259,STARBUCKS # 26652,212 HINTON OAKS BLVD ,KNIGHTDALE,2016-07-19T00:00:00.000Z,-78.51259399999999,35.79763536,0.0
4092016029,HIBACHI K EXPRESS,4001 WIDE WATERS SUITE B PKY ,KNIGHTDALE,2011-10-27T00:00:00.000Z,-78.50602234,35.79592218,10.0
4092012825,China House,7063 Us 64 Hwy E,KNIGHTDALE,1998-10-23T00:00:00.000Z,0.0,0.0,6.0
4092014817,Kiko Japan Express,1018-C Shoppes At Midway DR ,KNIGHTDALE,2007-02-20T00:00:00.000Z,-78.50497023,35.79806831,2.0
4092013750,Fuji China,4001 Widewater Pky ,KNIGHTDALE,2003-01-02T00:00:00.000Z,-78.50515596,35.79511678,15.0
4092016594,SMITHFIELD'S CHICKEN'N BAR-B-Q,7304 KNIGHTDALE  BLVD ,KNIGHTDALE,2014-01-06T00:00:00.000Z,-78.48480969,35.79790459,1.0
4092014893,Moe's Southwest Grill #837,1016-A Shoppes at Midway Drive ,KNIGHTDALE,2007-06-25T00:00:00.000Z,-78.50550835,35.79794748,2.0
4092017845,Scoozi Pizza & Grill,7039 Knightdale Blvd,KNIGHTDALE,2018-05-10T00:00:00.000Z,-78.4900383,35.7998273,2.0
4092018077,BOXCAR COFFEE AND SCOOPS,903 N SMITHFIELD DR ,KNIGHTDALE,2019-03-29T00:00:00.000Z,-78.4870177,35.79556703,0.0
4092015886,SUBWAY #33002,7106 KNIGHTDALE BLVD ,KNIGHTDALE,2011-01-24T00:00:00.000Z,-78.49110835,35.79651408,5.0
4092017120,OAK CITY BREWING COMPANY,616 N FIRST AVE ,KNIGHTDALE,2015-12-30T00:00:00.000Z,-78.47660791,35.79386049,0.0
4092018182,Dunkin Donuts/Baskin Robbins #331785,7137 US 64 Hwy,KNIGHTDALE,2019-09-24T00:00:00.000Z,0.0,0.0,0.0
4092017584,IPHO SUSHI KITCHEN & BAR,40001-H WIDEWATERS PKY ,KNIGHTDALE,2017-04-04T00:00:00.000Z,0.0,0.0,12.0
4092017466,POPEYES #12346,7120 KNIGHTDALE BLVD ,KNIGHTDALE,2016-11-29T00:00:00.000Z,-78.49001904,35.79780164,1.0
4092013712,CiCi's Pizza # 425,4001 Widewaters Pky ,KNIGHTDALE,2002-11-15T00:00:00.000Z,-78.50515596,35.79511678,2.0
4092012980,The Sports Page Bar & Grill,835 N SMITHFIELD RD ,KNIGHTDALE,1999-07-20T00:00:00.000Z,-78.48796476,35.79576936,21.0
4092010343,Hardees Of Knightdale,905 N SMITHFIELD RD ,KNIGHTDALE,1991-04-25T00:00:00.000Z,-78.48810246,35.79784152,6.0
4092011804,Taco Bell of Knightdale,7036 Us 64 E,KNIGHTDALE,1996-01-03T00:00:00.000Z,0.0,0.0,0.0
4092011805,Burger King #7810,7102 KNIGHTDALE BLVD ,KNIGHTDALE,1996-01-03T00:00:00.000Z,-78.49170015,35.79787089,2.0
4092010072,Bojangles # 11,7525 Us 64 Hwy E,KNIGHTDALE,1991-05-01T00:00:00.000Z,0.0,0.0,2.0
4092014840,KFC/Long John Silvers # J120031,7040 Knightdale BLVD ,KNIGHTDALE,2007-04-05T00:00:00.000Z,-78.49327225,35.79797229,4.0
4092014050,Carmen's Cuban Cafe,108 Factory Shops Rd,MORRISVILE,2004-05-14T00:00:00.000Z,-78.81829239,35.86238399,4.0
4092017296,WENDY'S #6322,1000 AERIAL CENTER PKY ,MORRISVILLE,2016-08-25T00:00:00.000Z,-78.81734039,35.85877302,4.0
4092017080,ROSATI'S PIZZA MORRISVILLE,3605 DAVIS  DR ,MORRISVILLE,2015-12-22T00:00:00.000Z,-78.84976245,35.82130357,12.0
4092014742,Salsa Fresh #3,3588 Davis DR ,MORRISVILLE,2006-12-04T00:00:00.000Z,-78.84576194,35.81812076,8.0
4092017476,G-58 CUISINE,10958 CHAPEL HILL RD ,MORRISVILLE,2016-12-15T00:00:00.000Z,-78.84206351,35.85633777,11.0
4092016686,ALPACA PERUVIAN CHARCOAL CHICKEN,9575 CHAPEL HILL  RD ,MORRISVILLE,2014-04-28T00:00:00.000Z,-78.81120699,35.8045716,12.0
4092016037,SAI KRISHNA BHAVAN,10970 CHAPEL HILL RD ,MORRISVILLE,2011-10-27T00:00:00.000Z,-78.84057157,35.85637651,9.0
4092017717,Panera Bread #1643,1100 Village Market PL ,Morrisville,2017-10-24T00:00:00.000Z,-78.81334286,35.80607737,7.0
